15692_12_1558061208284476746,0,984,1021,0,86,0,24,0,0,0,525307351
15692_12_1558061208847291111,0,214,208,0,37,0,21,0,0,0,152440155
15692_12_1558061208999777546,0,207,211,0,33,0,14,0,0,0,131195486
15692_12_1558061209130995949,0,211,210,0,38,0,19,0,0,0,139081220
15692_12_1558061209306140330,0,208,200,0,37,0,21,0,0,0,84892215
15692_12_1558061209448181083,0,203,199,0,31,0,17,0,0,0,129434199
15692_12_1558061209671655400,0,206,196,0,31,0,20,0,0,0,71976363
15692_12_1558061209779819557,0,214,216,0,59,0,26,0,0,0,169885508
15692_12_1558061210008618903,0,205,230,0,64,0,19,0,0,0,186746561
15692_12_1558061210231729926,0,205,231,0,65,0,17,0,0,0,155716268
15692_12_1558061210446943270,0,212,235,0,76,0,24,0,0,0,96886430
15692_12_1558061210543854021,0,202,228,0,59,0,16,0,0,0,184818306
15692_12_1558061210784187777,0,207,197,0,33,0,21,0,0,0,122475476
15692_12_1558061210972210123,0,205,203,0,37,0,19,0,0,0,121197949
15692_12_1558061211093438236,0,202,204,0,35,0,15,0,0,0,162448824
15692_12_1558061211342118273,0,205,202,0,36,0,19,0,0,0,130479469
15692_12_1558061211531974130,0,218,222,0,69,0,28,0,0,0,154234075
15692_12_1558061211755770201,0,210,220,0,59,0,23,0,0,0,240503584
15692_12_1558061212059525974,0,197,209,0,35,0,11,0,0,0,89957519
15692_12_1558061212211870875,0,202,217,0,48,0,16,0,0,0,177341379
15692_12_1558061212473462957,0,206,211,0,46,0,20,0,0,0,184550775
15692_12_1558061212703249345,0,211,235,0,75,0,22,0,0,0,213936657
15692_12_1558061212949173335,0,212,201,0,42,0,24,0,0,0,83611386
15692_12_1558061213072901579,0,209,190,0,28,0,23,0,0,0,100261752
15692_12_1558061213259799342,0,203,197,0,29,0,17,0,0,0,92940544
15692_12_1558061213352763343,0,212,196,0,37,0,26,0,0,0,123584256
15692_12_1558061213476395687,0,211,218,0,58,0,24,0,0,0,262724907
15692_12_1558061213783887311,0,206,203,0,38,0,19,0,0,0,112493903
15692_12_1558061213954724927,0,212,194,0,35,0,26,0,0,0,74262551
15692_12_1558061214059069337,0,212,189,0,30,0,26,0,0,0,84896285
