15670_12_1558061207232093488,0,3888814,43106852,0,125767659,0,51949197,0,0,0,224712522
15670_12_1558061207456833352,0,1245079,279639433,0,383420306,0,16598077,0,0,0,680902895
15670_12_1558061208137769450,0,1453569,20052494,0,90082004,0,20122387,0,0,0,131710454
15670_12_1558061208269503074,0,1225222,37867992,0,31385369,0,10803093,0,0,0,81281676
15670_12_1558061208350807354,0,1074350,17092985,0,87991551,0,9516219,0,0,0,115675105
15670_12_1558061208519742989,0,1327757,17977074,0,50182669,0,24565279,0,0,0,94052779
15670_12_1558061208697131255,0,1156257,17892298,0,14435190,0,21952349,0,0,0,55436094
15670_12_1558061208812048282,0,1311850,17759683,0,23048809,0,32544401,0,0,0,74664743
15670_12_1558061208928094630,0,1216130,17661226,0,21871580,0,27250084,0,0,0,67999020
15670_12_1558061208996114426,0,1459642,19141802,0,81011131,0,12456473,0,0,0,114069048
15670_12_1558061209177477755,0,1203339,19906972,0,55294599,0,15519562,0,0,0,91924472
15670_12_1558061209269444262,0,1176118,19777003,0,94616967,0,19735411,0,0,0,135305499
15670_12_1558061209459192498,0,1394610,20133608,0,82306684,0,17473109,0,0,0,121308011
15670_12_1558061209639760425,0,1205628,19122695,0,76617281,0,21010891,0,0,0,117956495
15670_12_1558061209819107540,0,1417477,20903847,0,147602277,0,13001504,0,0,0,182925105
15670_12_1558061210065260260,0,1409960,20656724,0,45433592,0,29387868,0,0,0,96888144
15670_12_1558061210244317396,0,1440628,18863143,0,152374265,0,31370122,0,0,0,204048158
15670_12_1558061210475700371,0,1377359,19694101,0,74015696,0,25554551,0,0,0,120641707
15670_12_1558061210596361795,0,1275617,19637969,0,152727937,0,16915027,0,0,0,190556550
15670_12_1558061210853443669,0,1294464,21647682,0,93967050,0,18140504,0,0,0,135049700
15670_12_1558061210988553394,0,1671029,21739119,0,93516718,0,42082626,0,0,0,159009492
15670_12_1558061211175792697,0,1476166,20376356,0,130276838,0,17554957,0,0,0,169684317
15670_12_1558061211384417453,0,1364151,18856281,0,20521255,0,29246743,0,0,0,69988430
15670_12_1558061211548858011,0,1371576,20205707,0,42781179,0,19707286,0,0,0,84065748
15670_12_1558061211745956545,0,1353989,20060230,0,62345516,0,22654977,0,0,0,106414712
15670_12_1558061211852401617,0,1284570,20054660,0,181231809,0,15205746,0,0,0,217776785
15670_12_1558061212107529083,0,1269073,18577932,0,81161595,0,11487051,0,0,0,112495651
15670_12_1558061212220062425,0,1288509,20799515,0,125941902,0,17491122,0,0,0,165521048
15670_12_1558061212385606635,0,1235531,19178422,0,140546573,0,7902006,0,0,0,168862532
15670_12_1558061212554493186,0,1264494,19719675,0,86414213,0,9980907,0,0,0,117379289
15670_12_1558061212671900532,0,1490430,20778625,0,67968935,0,20012204,0,0,0,110250194
15670_12_1558061212815915101,0,1313365,19956386,0,85041347,0,18493732,0,0,0,124804830
15670_12_1558061212979786997,0,1493937,21270845,0,117222544,0,23901626,0,0,0,163888952
15670_12_1558061213232487259,0,1338728,21998314,0,80802240,0,17903997,0,0,0,122043279
15670_12_1558061213434931281,0,1423236,21383597,0,68703270,0,22000477,0,0,0,113510580
15670_12_1558061213596503665,0,1367324,20770378,0,83258855,0,33783374,0,0,0,139179931
15670_12_1558061213735704602,0,1400210,20666431,0,107308655,0,21258039,0,0,0,150633335
15670_12_1558061213986165099,0,1427988,21507005,0,132594130,0,48973353,0,0,0,204502476
