,Ngram,Normal mean,Normal sem,Cluster 0 mean,Cluster 0 sem,Cluster 1 mean,Cluster 1 sem,Cluster 2 mean,Cluster 2 sem
293,nanosleep nanosleep,3.0051266186414463,[0.0006871],3.0344827586206895,[0.02427675],3.0,[0.],3.0,[0.]
392,nanosleep nanosleep nanosleep,2.0051266186414463,[0.0006871],2.0344827586206895,[0.02427675],2.0,[0.],2.0,[0.]
306,nanosleep nanosleep sendto,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
233,nanosleep sendto,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
480,nanosleep sendto poll,0.9977239581031511,[0.00022401],1.0,[0.],1.0,[0.],1.0,[0.]
301,nanosleep sendto sendto,0.002276041896848897,[0.00022401],0.0,0.0,0.0,0.0,0.0,0.0
179,newfstat,2.0121978167675785,[0.00248924],3.3879310344827585,[0.51072039],2.0,[0.],463.4,[20.49780476]
421,newfstat getdents,0.01166747690811862,[0.00238101],1.3275862068965518,[0.48851515],0.0,0.0,22.0,[0.]
478,newfstat getdents getdents,0.01166747690811862,[0.00238101],1.3275862068965518,[0.48851515],0.0,0.0,22.0,[0.]
440,newfstat mmap,1.0,[0.],1.0,[0.],1.0,[0.],109.6,[5.16333226]
214,newfstat mmap close,0.9958898660891855,[0.00030075],0.9913793103448276,[0.00862069],1.0,[0.],1.0,[0.]
199,newfstat mmap fcntl,0.0,0.0,0.0,0.0,0.0,0.0,0.6,[0.4]
265,newfstat mmap mmap,0.004110133910814513,[0.00030075],0.008620689655172414,[0.00862069],0.0,0.0,0.2,[0.2]
203,newfstat mmap newstat,0.0,0.0,0.0,0.0,0.0,0.0,107.8,[4.88262225]
65,newfstat newfstat,0.0,0.0,0.0,0.0,0.0,0.0,328.8,[15.37335357]
75,newfstat newfstat mmap,0.0,0.0,0.0,0.0,0.0,0.0,108.6,[5.16333226]
173,newfstat newfstat newfstat,0.0,0.0,0.0,0.0,0.0,0.0,219.2,[10.24890238]
89,newfstat newfstat read,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[0.31622777]
62,newfstat read,1.0005303398594598,[0.00010823],1.0603448275862069,[0.02220523],1.0,[0.],3.0,[0.31622777]
281,newfstat read read,1.0005303398594598,[0.00010823],1.0603448275862069,[0.02220523],1.0,[0.],3.0,[0.31622777]
187,newlstat,0.1406505502276042,[0.0159384],5.577586206896552,[1.91318909],6.444444444444445,[4.66129699],179.8,[6.22414653]
344,newlstat newlstat,0.017677995315331242,[0.00174304],3.336206896551724,[1.12734473],3.7777777777777777,[2.46083968],70.2,[4.39772669]
80,newlstat newlstat newlstat,0.008220267821629027,[0.00095531],2.3620689655172415,[0.7905359],2.6666666666666665,[1.67852921],46.8,[3.33766385]
91,newlstat newlstat newstat,0.009457727493702214,[0.00096321],0.9741379310344828,[0.33876511],1.1111111111111112,[0.78757996],0.0,0.0
492,newlstat newlstat open,0.0,0.0,0.0,0.0,0.0,0.0,23.4,[1.07703296]
388,newlstat newstat,0.12297255491227295,[0.01471876],2.2413793103448274,[0.80446847],2.6666666666666665,[2.22253966],0.0,0.0
164,newlstat newstat access,0.006341980819375083,[0.00062937],0.14655172413793102,[0.04457749],0.05555555555555555,[0.05555556],0.0,0.0
92,newlstat newstat nanosleep,0.0009501922481990542,[0.00014484],0.008620689655172414,[0.00862069],0.0,0.0,0.0,0.0
248,newlstat newstat newlstat,0.099946966014054,[0.01312741],1.8793103448275863,[0.72035673],2.4166666666666665,[2.13711532],0.0,0.0
1,newlstat newstat newstat,0.013943518804967516,[0.00184701],0.20689655172413793,[0.06652348],0.19444444444444445,[0.09611042],0.0,0.0
397,newlstat newstat sendto,0.0017898970256772881,[0.00022843],0.0,0.0,0.0,0.0,0.0,0.0
412,newlstat open,0.0,0.0,0.0,0.0,0.0,0.0,109.6,[5.12445119]
402,newlstat open newfstat,0.0,0.0,0.0,0.0,0.0,0.0,109.4,[5.07543102]
159,newlstat open open,0.0,0.0,0.0,0.0,0.0,0.0,0.2,[0.2]
284,newstat,5.6729128916780835,[0.07449635],50.258620689655174,[13.97196873],14.472222222222221,[3.05205788],753.6,[9.97797575]
466,newstat access,3.0202192071419103,[0.00170375],3.2241379310344827,[0.10467785],3.0555555555555554,[0.03871845],0.8,[0.37416574]
270,newstat access access,1.0122862067441551,[0.00067214],1.2586206896551724,[0.08581621],1.1388888888888888,[0.07074185],0.0,0.0
205,newstat access nanosleep,6.629248243249216e-05,[3.82731368e-05],0.0,0.0,0.0,0.0,0.0,0.0
34,newstat access newlstat,0.004331108852256154,[0.00048067],0.017241379310344827,[0.01213837],0.0,0.0,0.2,[0.2]
464,newstat access newstat,0.012683961638750166,[0.00106224],0.1896551724137931,[0.07735682],0.19444444444444445,[0.06689775],0.0,0.0
229,newstat access sendto,0.9922216820612543,[0.00041885],0.8793103448275862,[0.03037786],0.7777777777777778,[0.07027284],0.0,0.0
314,newstat access socket,0.9986299553630619,[0.00017388],0.8793103448275862,[0.03037786],0.9444444444444444,[0.03871845],0.6,[0.24494897]
384,newstat brk,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
476,newstat brk mmap,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
337,newstat fcntl,0.0,0.0,0.0,0.0,0.0,0.0,101.4,[4.92544414]
409,newstat fcntl brk,0.0,0.0,0.0,0.0,0.0,0.0,0.2,[0.2]
101,newstat fcntl fcntl,0.0,0.0,0.0,0.0,0.0,0.0,101.2,[4.81040539]
249,newstat mmap,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,7.8,[1.46287388]
329,newstat mmap brk,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
2,newstat mmap madvise,0.0,0.0,0.0,0.0,0.0,0.0,5.8,[1.46287388]
429,newstat mmap munmap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[0.]
8,newstat nanosleep,0.001679409554956468,[0.00019248],0.008620689655172414,[0.00862069],0.0,0.0,0.0,0.0
250,newstat nanosleep nanosleep,0.001679409554956468,[0.00019248],0.008620689655172414,[0.00862069],0.0,0.0,0.0,0.0
119,newstat newlstat,0.1126751226410925,[0.01416898],2.043103448275862,[0.76057189],2.5,[2.16593394],1.0,[0.31622777]
35,newstat newlstat newlstat,0.005546471030185177,[0.00070144],0.8448275862068966,[0.31159585],1.0,[0.75592895],0.4,[0.24494897]
365,newstat newlstat newstat,0.10712865161090733,[0.01358072],1.1982758620689655,[0.46013814],1.5,[1.41561586],0.0,0.0
455,newstat newlstat open,0.0,0.0,0.0,0.0,0.0,0.0,0.6,[0.24494897]
498,newstat newstat,0.517501215362178,[0.06870295],41.4051724137931,[13.49717044],6.694444444444445,[1.44079974],618.6,[6.68281378]
256,newstat newstat access,0.013722543863525876,[0.00076245],0.29310344827586204,[0.07348392],0.9444444444444444,[0.07912663],0.0,0.0
4,newstat newstat fcntl,0.0,0.0,0.0,0.0,0.0,0.0,0.2,[0.2]
126,newstat newstat mmap,0.0,0.0,0.0,0.0,0.0,0.0,0.4,[0.24494897]
470,newstat newstat newlstat,0.009943872364873823,[0.00159158],0.08620689655172414,[0.04164706],0.08333333333333333,[0.06139903],0.4,[0.24494897]
479,newstat newstat newstat,0.4752287090643921,[0.0661112],39.58620689655172,[13.03487462],5.416666666666667,[1.37227363],596.4,[6.70522185]
18,newstat newstat open,0.013656251381093384,[0.00228469],1.2672413793103448,[0.46630992],0.0,0.0,21.2,[0.2]
221,newstat newstat sendto,0.0036018915454987407,[0.00037004],0.16379310344827586,[0.04231666],0.2222222222222222,[0.08078102],0.0,0.0
132,newstat newstat setitimer,0.0013479471427940073,[0.00017247],0.008620689655172414,[0.00862069],0.027777777777777776,[0.02777778],0.0,0.0
457,newstat open,1.0116674769081186,[0.00238101],2.3275862068965516,[0.48851515],1.0,[0.],23.0,[0.]
390,newstat open mmap,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,0.0,0.0
377,newstat open newfstat,1.0086622177045124,[0.00227602],2.2586206896551726,[0.46659324],0.3611111111111111,[0.08118935],22.0,[0.]
183,newstat open open,0.0024749193441463736,[0.00023357],0.008620689655172414,[0.00862069],0.6388888888888888,[0.08118935],1.0,[0.]
55,newstat sendto,0.00698280814955584,[0.00059038],0.1810344827586207,[0.05136683],0.2222222222222222,[0.08078102],0.0,0.0
257,newstat sendto poll,0.00698280814955584,[0.00059038],0.1810344827586207,[0.05136683],0.2222222222222222,[0.08078102],0.0,0.0
352,newstat setitimer,0.9994696601405401,[0.00010823],0.9396551724137931,[0.02220523],1.0,[0.],0.0,0.0
152,newstat setitimer rt_sigaction,0.9994696601405401,[0.00010823],0.9396551724137931,[0.02220523],1.0,[0.],0.0,0.0
472,newstat writev,0.001657312060812304,[0.00019121],0.008620689655172414,[0.00862069],0.0,0.0,0.0,0.0
241,newstat writev chdir,0.0015910195783798116,[0.00018736],0.008620689655172414,[0.00862069],0.0,0.0,0.0,0.0
474,newstat writev writev,6.629248243249216e-05,[3.82731368e-05],0.0,0.0,0.0,0.0,0.0,0.0
27,open,5.040305829318955,[0.00274924],6.439655172413793,[0.51035584],7.055555555555555,[0.26108578],142.0,[5.65685425]
194,open access,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
14,open access access,0.998254297962611,[0.00019624],0.9310344827586207,[0.02362925],1.0,[0.],0.6,[0.24494897]
356,open access newlstat,0.0009722897423432182,[0.00014651],0.0603448275862069,[0.02220523],0.0,0.0,0.4,[0.24494897]
234,open access newstat,0.0007734122950457418,[0.00013068],0.008620689655172414,[0.00862069],0.0,0.0,0.0,0.0
168,open mmap,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
291,open mmap newfstat,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
415,open newfstat,2.0116674769081184,[0.00238101],3.3275862068965516,[0.48851515],2.0,[0.],133.6,[5.12445119]
66,open newfstat getdents,0.01166747690811862,[0.00238101],1.3275862068965518,[0.48851515],0.0,0.0,22.0,[0.]
44,open newfstat mmap,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
374,open newfstat newfstat,0.0,0.0,0.0,0.0,0.0,0.0,109.6,[5.12445119]
41,open newfstat read,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
120,open open,1.0281080125513766,[0.00113459],1.0517241379310345,[0.02960213],3.0555555555555554,[0.26108578],5.4,[1.4]
167,open open access,0.0024528218500022097,[0.00023253],0.0,0.0,0.0,0.0,0.0,0.0
237,open open mmap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[0.]
405,open open newfstat,0.008308657798205683,[0.00042671],0.02586206896551724,[0.01480106],0.6388888888888888,[0.08118935],0.2,[0.2]
496,open open open,0.01734653290316878,[0.00074656],0.02586206896551724,[0.01480106],1.4166666666666667,[0.18845655],3.2,[1.2]
226,open open sendto,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
166,open sendto,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
219,open sendto poll,0.996486498431078,[0.00027815],1.0,[0.],0.9722222222222222,[0.02777778],1.0,[0.]
32,open sendto sendto,0.0035135015689220844,[0.00027815],0.0,0.0,0.027777777777777776,[0.02777778],0.0,0.0
319,poll,94.90820700932514,[0.06496408],99.1896551724138,[1.32255907],101.5,[1.29559694],102.8,[5.16139516]
245,poll poll,56.908207009325146,[0.06496408],61.189655172413794,[1.32255907],63.5,[1.29559694],64.8,[5.16139516]
488,poll poll poll,37.98174746983692,[0.04347199],40.87931034482759,[0.88576576],42.388888888888886,[0.86398649],43.2,[3.44093011]
22,poll poll read,0.9859901887126,[0.0005525],0.9913793103448276,[0.00862069],0.9166666666666666,[0.04671766],1.0,[0.]
495,poll poll recvfrom,17.940469350775622,[0.02153426],19.31896551724138,[0.43525297],20.194444444444443,[0.43792339],20.6,[1.72046505]
435,poll read,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
298,poll read read,0.0027621867680205064,[0.00024672],0.008620689655172414,[0.00862069],0.0,0.0,0.0,0.0
260,poll recvfrom,37.0,[0.],37.0,[0.],37.0,[0.],37.0,[0.]
103,poll recvfrom access,6.989326910328368,[0.00054481],6.724137931034483,[0.05418914],6.833333333333333,[0.06299408],4.2,[0.2]
110,poll recvfrom mmap,0.0015910195783798116,[0.00032468],0.1810344827586207,[0.0666157],0.0,0.0,2.0,[0.]
36,poll recvfrom newlstat,0.0010827772130640385,[0.0001546],0.06896551724137931,[0.02362925],0.027777777777777776,[0.02777778],1.8,[0.2]
204,poll recvfrom newstat,0.002629601803155522,[0.0002853],0.06896551724137931,[0.02661328],0.0,0.0,0.0,0.0
373,poll recvfrom open,0.9988730277986476,[0.00015772],1.0,[0.],1.0,[0.],1.0,[0.]
313,poll recvfrom poll,10.993238166791885,[0.00038777],10.982758620689655,[0.01213837],10.916666666666666,[0.04671766],11.0,[0.]
403,poll recvfrom recvfrom,0.02779864763335838,[0.00079645],0.0603448275862069,[0.02220523],0.5277777777777778,[0.10900787],0.0,0.0
342,poll recvfrom sendto,16.9869403809608,[0.00054276],16.974137931034484,[0.01480106],16.694444444444443,[0.08746377],17.0,[0.]
129,poll recvfrom writev,0.998519467892341,[0.00018074],0.9396551724137931,[0.02220523],1.0,[0.],0.0,0.0
449,read,5.015379855924338,[0.00098162],5.413793103448276,[0.13528191],6.805555555555555,[0.3207616],23.6,[2.58069758]
251,read close,1.0005303398594598,[0.00010823],1.0603448275862069,[0.02220523],1.0,[0.],2.0,[0.]
387,read close mmap,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
399,read close newstat,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
6,read fcntl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[0.31622777]
156,read fcntl fcntl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[0.31622777]
102,read newstat,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
211,read newstat newstat,0.002519114332434702,[0.00023564],0.0,0.0,0.0,0.0,0.0,0.0
145,read newstat open,0.9974808856675653,[0.00023564],1.0,[0.],1.0,[0.],1.0,[0.]
116,read read,2.0148495160648783,[0.00091379],2.353448275862069,[0.11371755],3.8055555555555554,[0.3207616],18.6,[2.29346899]
180,read read close,1.0005303398594598,[0.00010823],1.0603448275862069,[0.02220523],1.0,[0.],2.0,[0.]
123,read read fcntl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[0.31622777]
274,read read newstat,0.001657312060812304,[0.00019121],0.017241379310344827,[0.01213837],0.0,0.0,0.0,0.0
239,read read read,1.0098996773765856,[0.00065908],1.2672413793103448,[0.08944084],2.8055555555555554,[0.3207616],15.6,[2.01494417]
